ID,Patrocinador,Corte,Especialidad,Area_terapeutica,condicion,Molecula,Mecanismo_accion,Fase,Fase_Stage,,,,,
C101,Pfizer,"November 1, 2022",Pediatría,Vacunas,COVID-19 Infection Booster (in collaboration with BioNTech) (EU – 12 years of age and older),BNT162b2 bivalent (BA.1),Prophylactic mRNA Vaccine,Registration,Registration,,,,,
C101,Pfizer,"November 1, 2022",Medicina interna,Vacunas,COVID-19 Infection Booster (in collaboration with BioNTech) (EU – 12 years of age and older),BNT162b2 bivalent (BA.1),Prophylactic mRNA Vaccine,Registration,Registration,,,,,
C101,Pfizer,"November 1, 2022",Inmunología,Infecciosas,COVID-19 Infection Booster (in collaboration with BioNTech) (EU – 12 years of age and older),BNT162b2 bivalent (BA.1),Prophylactic mRNA Vaccine,Registration,Registration,,,,,
C101,Pfizer,"November 1, 2022",Pediatría,Infecciosas,COVID-19 Infection Booster (in collaboration with BioNTech) (EU – 12 years of age and older),BNT162b2 bivalent (BA.1),Prophylactic mRNA Vaccine,Registration,Registration,,,,,
C101,Pfizer,"November 1, 2022",Medicina interna,Infecciosas,COVID-19 Infection Booster (in collaboration with BioNTech) (EU – 12 years of age and older),BNT162b2 bivalent (BA.1),Prophylactic mRNA Vaccine,Registration,Registration,,,,,
C102,MSD,Q2 2022,Inmunología,Infecciosas,HIV-1 prevention,"MK-8591
 islatravir","-HIV-1 agent, acting as a nucleoside reverse transcriptase inhibitor, with EC50s of 0.068 nM, 3.1 nM and 0.15 nM for HIV-1 (WT), HIV-1 (M184V), HIV-1 (MDR), respectively.
 https://www.medchemexpress.com/MK-8591.html?utm_source=google&utm_medium=CPC&utm_campaign=Spain&utm_term=HY-104012&utm_content=MK%208591&gclid=Cj0KCQiA-JacBhC0ARIsAIxybyN24ek20TCL7ClwCZ3GTaDm2HQ7bWvJJSfniz43yZ0eCAdhBkMV2-saAgM5EALw_wcB",Phasethree,"PhasethreeActive, not recruiting",Oral Islatravir (MK-8591) Once-Monthly as Preexposure Prophylaxis (PrEP) in Men and Transgender Women Who Are at High Risk for HIV-1 Infection (MK-8591-024) (Impower-024),NCT04652700,"Active, not recruiting","Ages Eligible for Study:16 Years and older 
 Sexes Eligible for Study:Male
 Gender Eligibility Description: Male participants and transgender women (TGW) who are at high risk for HIV-1 infection
 -Has confirmed Human Immunodeficiency Virus (HIV) uninfected based on negative HIV-1/HIV-2 test result before randomization
 -Is sexually active with male or transgender women (TGW) partners defined as having anal sexual intercourse with a man or TGW at least once in the past month
 -Is at high risk for sexually acquiring HIV-1 infection based on self-report of at least 1 of the following: a) Condomless receptive anal intercourse in the 6 months prior to screening occurring outside a mutually monogamous HIV seronegative concordant relationship b) More than 5 partners (anal intercourse) in the 6 months prior to screening c) Any unprescribed stimulant drug use in the 6 months prior to screening d) Rectal or urethral gonorrhea or chlamydia or incident syphilis in the 6 months prior to screening
 -Participants 16 or 17 years of age must weigh ?35 kg. Enrollment for 16- to 17-year-old participants will begin only after completion of the Sentinel Cohort IA and review of IA results by the external data monitoring committee (eDMC)
 -Has no plans to relocate or travel away from the site for ?4 consecutive weeks during study participation","-Has hypersensitivity or other contraindication to any component of the study interventions as determined by the investigator
 -Has chronic HBV infection or past HBV infection which could indicate risk for Hepatitis B reactivation
 -Has known current or chronic history of liver disease or known hepatic or biliary abnormalities, unless the participant has stable liver function tests and no evidence of hepatic synthetic dysfunction
 -Has a history of malignancy within 5 years of screening except for adequately treated basal cell or squamous cell skin cancer or in situ anal cancers
 -Has a history or current evidence of any condition, therapy, laboratory abnormality or other circumstance that might, in the opinion of the investigator, confound the results of the study or interfere with the participant's participation for the full duration of the study, such that it is not in the best interest of the participant to enroll
 -Has taken cabotegravir, lenacapavir, or any other long-acting HIV prevention product at any time
 -Is currently receiving or is anticipated to require any prohibited therapies outlined in the study from 30 days prior to Day 1 through the duration of the study
 -Is currently participating in or has participated in an interventional or prevention clinical study with an investigational compound or device, within 30 days prior to Day 1 through the duration of the study
 -Has exclusionary laboratory values within 45 days prior to Day 1"
C102,MSD,Q2 2022,Infectología,Infecciosas,HIV-1 prevention,"MK-8591
 islatravir","-HIV-1 agent, acting as a nucleoside reverse transcriptase inhibitor, with EC50s of 0.068 nM, 3.1 nM and 0.15 nM for HIV-1 (WT), HIV-1 (M184V), HIV-1 (MDR), respectively.
 https://www.medchemexpress.com/MK-8591.html?utm_source=google&utm_medium=CPC&utm_campaign=Spain&utm_term=HY-104012&utm_content=MK%208591&gclid=Cj0KCQiA-JacBhC0ARIsAIxybyN24ek20TCL7ClwCZ3GTaDm2HQ7bWvJJSfniz43yZ0eCAdhBkMV2-saAgM5EALw_wcB",Phasethree,"PhasethreeActive, not recruiting",Oral Islatravir (MK-8591) Once-Monthly as Preexposure Prophylaxis (PrEP) in Men and Transgender Women Who Are at High Risk for HIV-1 Infection (MK-8591-024) (Impower-024),NCT04652700,"Active, not recruiting","Ages Eligible for Study:16 Years and older 
 Sexes Eligible for Study:Male
 Gender Eligibility Description: Male participants and transgender women (TGW) who are at high risk for HIV-1 infection
 -Has confirmed Human Immunodeficiency Virus (HIV) uninfected based on negative HIV-1/HIV-2 test result before randomization
 -Is sexually active with male or transgender women (TGW) partners defined as having anal sexual intercourse with a man or TGW at least once in the past month
 -Is at high risk for sexually acquiring HIV-1 infection based on self-report of at least 1 of the following: a) Condomless receptive anal intercourse in the 6 months prior to screening occurring outside a mutually monogamous HIV seronegative concordant relationship b) More than 5 partners (anal intercourse) in the 6 months prior to screening c) Any unprescribed stimulant drug use in the 6 months prior to screening d) Rectal or urethral gonorrhea or chlamydia or incident syphilis in the 6 months prior to screening
 -Participants 16 or 17 years of age must weigh ?35 kg. Enrollment for 16- to 17-year-old participants will begin only after completion of the Sentinel Cohort IA and review of IA results by the external data monitoring committee (eDMC)
 -Has no plans to relocate or travel away from the site for ?4 consecutive weeks during study participation","-Has hypersensitivity or other contraindication to any component of the study interventions as determined by the investigator
 -Has chronic HBV infection or past HBV infection which could indicate risk for Hepatitis B reactivation
 -Has known current or chronic history of liver disease or known hepatic or biliary abnormalities, unless the participant has stable liver function tests and no evidence of hepatic synthetic dysfunction
 -Has a history of malignancy within 5 years of screening except for adequately treated basal cell or squamous cell skin cancer or in situ anal cancers
 -Has a history or current evidence of any condition, therapy, laboratory abnormality or other circumstance that might, in the opinion of the investigator, confound the results of the study or interfere with the participant's participation for the full duration of the study, such that it is not in the best interest of the participant to enroll
 -Has taken cabotegravir, lenacapavir, or any other long-acting HIV prevention product at any time
 -Is currently receiving or is anticipated to require any prohibited therapies outlined in the study from 30 days prior to Day 1 through the duration of the study
 -Is currently participating in or has participated in an interventional or prevention clinical study with an investigational compound or device, within 30 days prior to Day 1 through the duration of the study
 -Has exclusionary laboratory values within 45 days prior to Day 1"
C103,Pfizer,"November 1, 2022",Medicina interna,geneticas,"Duchenne Muscular Dystrophy Ambulatory (Biologic) (FAST TRACK – U.S.; ORPHAN - U.S., E.U.)",fordadistrogene movaparvovec (PF-06939926),"Gene therapy, minidystrophin",Phasethree,Phasethree,,,,,
C103,Pfizer,"November 1, 2022",Medicina interna,musculoesqueleticas,"Duchenne Muscular Dystrophy Ambulatory (Biologic) (FAST TRACK – U.S.; ORPHAN - U.S., E.U.)",fordadistrogene movaparvovec (PF-06939926),"Gene therapy, minidystrophin",Phasethree,Phasethree,,,,,
C104,Novartis,Q3 2022,Medicina interna,Infecciosas,Corona virus infection,"SKO136
 ensovibep",Multi-specific DARPin,Phasetwo,Phasetwo,,,,,
C104,Novartis,Q3 2022,Medicina interna,Infecciosas,Corona virus infection,"SKO136
 ensovibep",Multi-specific DARPin,Phasetwo,Phasetwo,,,,,
C104,Novartis,Q3 2022,Neumología,Infecciosas,Corona virus infection,"SKO136
 ensovibep",Multi-specific DARPin,Phasetwo,Phasetwo,,,,,
C105,Novartis,Q3 2022,Medicina interna,Metabólicas,Non-alcoholic steatohepatitis (NASH),FIA586,-,Phaseone,Phaseone,,,,,
C106,Sanofi,Q32022,Medicina interna,Vacunas,Yellow Fever,SP0218,Vero cell Vaccine,Phasetwo,Phasetwo,,,,,
C106,Sanofi,Q32022,Medicina interna,Infecciosas,Yellow Fever,SP0218,Vero cell Vaccine,Phasetwo,Phasetwo,,,,,
C107,Pfizer,"November 1, 2022",Medicina interna,Metabólicas,"Non-alcoholic Steatohepatitis (NASH) with Liver Fibrosis (FAST
 TRACK; U.S.)",ervogastat (PF-06865571),"Diacylglycerol O-Acyltransferase 2
 (DGAT2) Inhibitor; Acetyl CoACarboxylase (ACC) Inhibitor",Phasetwo,Phasetwo,,,,,
C108,Pfizer,"November 1, 2022",Medicina interna,Metabólicas,"Non-alcoholic Steatohepatitis (NASH) with Liver Fibrosis (FAST
 TRACK; U.S.)",ervogastat (PF-06865571) + clesacostat (PF-05221304),"Diacylglycerol O-Acyltransferase 2
 (DGAT2) Inhibitor; Acetyl CoACarboxylase (ACC) Inhibitor",Phasetwo,Phasetwo,,,,,
C109,Pfizer,"November 1, 2022",Medicina interna,Metabólicas,"Adult Growth Hormone Deficiency (Biologic) (ORPHAN - U.S., E.U.)",somatrogon (PF-06836922),Human growth hormone agonist,Phasethree,Phasethree,,,,,
C11,Sanofi,Q32022,Dermatología,Cutaneas,Atopic Dermatitis,atuzabrutinib,BTK inhibitor (topical),Phasetwo,Phasetwo,,,,,
C110,Pfizer,"November 1, 2022",Medicina interna,Metabólicas,Non-alcoholic Steatohepatitis (NASH) with Liver Fibrosis,PF-07202954,Diacylglycerol O-Acyltransferase 2 (DGAT2) Inhibitor,Phaseone,Phaseone,,,,,
C111,Novartis,Q3 2022,Medicina interna,tropicales,"Malaria, severe 
 Malaria, uncomplicated","KAE609
 cipargamin",PfATP4 inhibitor,Phasetwo,Phasetwo,,,,,
C111,Novartis,Q3 2022,Medicina interna,Infecciosas,"Malaria, severe 
 Malaria, uncomplicated","KAE609
 cipargamin",PfATP4 inhibitor,Phasetwo,Phasetwo,,,,,
C112,Novartis,Q3 2022,Medicina interna,tropicales,"Malaria, uncomplicated","KAF156
 ganaplacide",-,Phasetwo,Phasetwo,,,,,
C112,Novartis,Q3 2022,Medicina interna,Infecciosas,"Malaria, uncomplicated","KAF156
 ganaplacide",-,Phasetwo,Phasetwo,,,,,
C113,Novartis,Q3 2022,Medicina interna,tropicales,Visceral leishmaniasis,LXE408,Proteasome inhibitor,Phasetwo,Phasetwo,,,,,
C113,Novartis,Q3 2022,Medicina interna,Infecciosas,Visceral leishmaniasis,LXE408,Proteasome inhibitor,Phasetwo,Phasetwo,,,,,
C114,MSD,Q2 2022,Medicina interna,Vacunas,Chikungunya virus Vaccine,V184,Vacuna viva recombinante vectorizada contra el sarampión de la cepa Schwarz que expresa proteínas estructurales del virus chikungunya.,Phasetwo,PhasetwoCompleted,Chikungunya Vaccine (V184) Study in Previously Exposed Adults (V184-006),NCT03807843,Completed,"Ages Eligible for Study: 21 Years to 65 Years 
 -Previous infection with chikungunya as verified by a serum immunoassay.
 -Able to provide informed consent.
 -Available and accessible for the duration of the trial.
 -Able and willing to comply with all requirements of the study.
 -For women of childbearing potential, willing to practice adequate contraception for the duration of the study.
 -Medical history and physical examination findings are considered normal or not clinically significant in the opinion of the Investigator, which includes resolution of any arthralgias that may have occurred during prior chikungunya infection, as well as the absence of synovitis.
 -Laboratory values are considered normal or not clinically significant in the opinion of the Investigator. If laboratory screening tests are out of the normal reference range and of potential clinical significance, the test(s) may be repeated up to 2 times (a total of 3 per screening evaluation) at the discretion of the Investigator, and the repeat values and their potential clinical significance will be used to determine eligibility.
 -History of immunity to measles. For persons born after 1957, this will be established by a history of compliance with vaccination policies that included measles vaccination or known vaccination as an adult at least one month before they are randomized. Volunteers born before 1957 will be presumed to have immunity to measles based on natural exposure in accordance with US Centers for Disease Control and Prevention (CDC) guidelines [McLean 2013].","-Taking medication or other treatment for unresolved symptoms attributed to a previous chikungunya virus infection.
 -Prior receipt of any investigational chikungunya or other alphavirus vaccine. To date, no alphavirus vaccines have been commercially available in the United States.
 -Recent infection:
 self-limited upper respiratory infections until afebrile without medication for >1 week;
 chikungunya unless/until asymptomatic (other than mild subjective symptoms not requiring treatment) for >3 months;
 non-recurrent upper respiratory or urinary tract infections successfully treated with antibiotics, until asymptomatic for 1 month after full antibiotic course has been completed.
 -History of an acute allergic or anaphylactic reaction to any vaccine.
 -History of an immunosuppressive disorder (such as human immunodeficiency virus [HIV] infection, Common Variable Immune Deficiency), chronic infection (such as chronic hepatitis B or C), autoimmune disease (such as rheumatoid arthritis, systemic lupus erythematosus (SLE), autoimmune thyroid disease), or any medical condition that, in the opinion of the Investigator, could lead to an atypical immune response to the vaccine.
 -History of moderate or severe non-traumatic arthritis or arthralgia within 3 months of the Screening Visit.
 -Recent (within 30 days), current or anticipated use of any immunosuppressive or immune modifying medication including corticosteroids (excluding nasal, ophthalmic, and other topical preparations).
 -Other vaccination or planned vaccination within 4 weeks of either study dose (seasonal influenza vaccine excepted).
 -Receipt or planned receipt of blood products including immunoglobulins within 120 days of the Screening Visit.
 -Pregnant or lactating or planning pregnancy during the trial.
 Known alcohol or other substance abuse that in the opinion of the Investigator affects the ability or willingness of the participant to understand and comply with the study protocol.
 -Participation in another clinical study within the past 30 days in which the participant was exposed to an investigational product (pharmaceutical product or placebo or device) or planned participation in another interventional clinical study while participating in this study.
 -Relevant history of any medical condition that, in the opinion of the Investigator, may interfere with the safety of the participant or aims of the study.
 -History of neoplastic disease (excluding successfully treated non-melanoma skin cancer or cervical intraepithelial neoplasia) within the past 5 years or a history of any hematological malignancy.
 -Behavioral or psychiatric disease or cognitive impairment that in the opinion of the Investigator affects the ability or willingness of the participant to understand and comply with the study protocol.
 -Non-consent to storage of blood specimens for future research.
 -Persons in direct relationship with the Sponsor or its contracted service providers, the contract research organisation (CRO) or its subcontractors, the Investigator, or study site staff. Direct relationship includes first degree relatives or dependents (children, spouse/partner, siblings or parents), as well as employees (site or Sponsor)."
C114,MSD,Q2 2022,Medicina interna,tropicales,Chikungunya virus Vaccine,V184,Vacuna viva recombinante vectorizada contra el sarampión de la cepa Schwarz que expresa proteínas estructurales del virus chikungunya.,Phasetwo,PhasetwoCompleted,Chikungunya Vaccine (V184) Study in Previously Exposed Adults (V184-006),NCT03807843,Completed,"Ages Eligible for Study: 21 Years to 65 Years 
 -Previous infection with chikungunya as verified by a serum immunoassay.
 -Able to provide informed consent.
 -Available and accessible for the duration of the trial.
 -Able and willing to comply with all requirements of the study.
 -For women of childbearing potential, willing to practice adequate contraception for the duration of the study.
 -Medical history and physical examination findings are considered normal or not clinically significant in the opinion of the Investigator, which includes resolution of any arthralgias that may have occurred during prior chikungunya infection, as well as the absence of synovitis.
 -Laboratory values are considered normal or not clinically significant in the opinion of the Investigator. If laboratory screening tests are out of the normal reference range and of potential clinical significance, the test(s) may be repeated up to 2 times (a total of 3 per screening evaluation) at the discretion of the Investigator, and the repeat values and their potential clinical significance will be used to determine eligibility.
 -History of immunity to measles. For persons born after 1957, this will be established by a history of compliance with vaccination policies that included measles vaccination or known vaccination as an adult at least one month before they are randomized. Volunteers born before 1957 will be presumed to have immunity to measles based on natural exposure in accordance with US Centers for Disease Control and Prevention (CDC) guidelines [McLean 2013].","-Taking medication or other treatment for unresolved symptoms attributed to a previous chikungunya virus infection.
 -Prior receipt of any investigational chikungunya or other alphavirus vaccine. To date, no alphavirus vaccines have been commercially available in the United States.
 -Recent infection:
 self-limited upper respiratory infections until afebrile without medication for >1 week;
 chikungunya unless/until asymptomatic (other than mild subjective symptoms not requiring treatment) for >3 months;
 non-recurrent upper respiratory or urinary tract infections successfully treated with antibiotics, until asymptomatic for 1 month after full antibiotic course has been completed.
 -History of an acute allergic or anaphylactic reaction to any vaccine.
 -History of an immunosuppressive disorder (such as human immunodeficiency virus [HIV] infection, Common Variable Immune Deficiency), chronic infection (such as chronic hepatitis B or C), autoimmune disease (such as rheumatoid arthritis, systemic lupus erythematosus (SLE), autoimmune thyroid disease), or any medical condition that, in the opinion of the Investigator, could lead to an atypical immune response to the vaccine.
 -History of moderate or severe non-traumatic arthritis or arthralgia within 3 months of the Screening Visit.
 -Recent (within 30 days), current or anticipated use of any immunosuppressive or immune modifying medication including corticosteroids (excluding nasal, ophthalmic, and other topical preparations).
 -Other vaccination or planned vaccination within 4 weeks of either study dose (seasonal influenza vaccine excepted).
 -Receipt or planned receipt of blood products including immunoglobulins within 120 days of the Screening Visit.
 -Pregnant or lactating or planning pregnancy during the trial.
 Known alcohol or other substance abuse that in the opinion of the Investigator affects the ability or willingness of the participant to understand and comply with the study protocol.
 -Participation in another clinical study within the past 30 days in which the participant was exposed to an investigational product (pharmaceutical product or placebo or device) or planned participation in another interventional clinical study while participating in this study.
 -Relevant history of any medical condition that, in the opinion of the Investigator, may interfere with the safety of the participant or aims of the study.
 -History of neoplastic disease (excluding successfully treated non-melanoma skin cancer or cervical intraepithelial neoplasia) within the past 5 years or a history of any hematological malignancy.
 -Behavioral or psychiatric disease or cognitive impairment that in the opinion of the Investigator affects the ability or willingness of the participant to understand and comply with the study protocol.
 -Non-consent to storage of blood specimens for future research.
 -Persons in direct relationship with the Sponsor or its contracted service providers, the contract research organisation (CRO) or its subcontractors, the Investigator, or study site staff. Direct relationship includes first degree relatives or dependents (children, spouse/partner, siblings or parents), as well as employees (site or Sponsor)."
C115,Sanofi,Q32022,Medicina interna,autoinmunes,Warm Autoimmune Hemolytic Anemia,Sarclisa®,Anti-CD38 mAb,Phasetwo,Phasetwo,,,,,
C115,Sanofi,Q32022,Reumatología,autoinmunes,Warm Autoimmune Hemolytic Anemia,Sarclisa®,Anti-CD38 mAb,Phasetwo,Phasetwo,,,,,
C116,Sanofi,Q32022,Medicina interna,autoinmunes,Warm Autoimmune Hemolytic Anemia,rilzabrutinib,BTK inhibitor,Phasetwo,Phasetwo,,,,,
C116,Sanofi,Q32022,Reumatología,autoinmunes,Warm Autoimmune Hemolytic Anemia,rilzabrutinib,BTK inhibitor,Phasetwo,Phasetwo,,,,,
C117,Sanofi,Q32022,Medicina interna,autoinmunes,Cold Agglutinin Disease,SAR445088,Complement C1s inhibitor,Phasetwo,Phasetwo,,,,,
C117,Sanofi,Q32022,Reumatología,autoinmunes,Cold Agglutinin Disease,SAR445088,Complement C1s inhibitor,Phasetwo,Phasetwo,,,,,
C118,Pfizer,"November 1, 2022",Medicina interna,Inmunologicas,Lupus (Biologic),PF-06835375,anti-CXCR5,Phaseone,Phaseone,,,,,
C118,Pfizer,"November 1, 2022",Reumatología,Inmunologicas,Lupus (Biologic),PF-06835375,anti-CXCR5,Phaseone,Phaseone,,,,,
C119,Novartis,Q3 2022,Medicina interna,geneticas,Sickle cell anemia,ADPT03,BCL11A,Phaseone,Phaseone,,,,,
C12,Sanofi,Q32022,Dermatología,Cutaneas,Bullous pemphigoid,Dupixent®,Anti-IL-4/IL-13 mAb,Phasethree,Phasethree,,,,,
C120,Moderna,,Cardiología,cardiovasculares,"relajante
 Insuficiencia cardiaca cronica",ARNm-0184,,Desarrollo preclínico,Desarrollo preclínico,,,,,
C120,Moderna,,Medicina interna,cardiovasculares,"relajante
 Insuficiencia cardiaca cronica",ARNm-0184,,Desarrollo preclínico,Desarrollo preclínico,,,,,
C121,Pfizer,"November 1, 2022",Medicina interna,cardiovasculares,"Acute Heart Failure With Reduced Ejection Fraction (FAST
 TRACK – U.S.)",APD418,"beta-3 adrenergic receptor (AdrR)
 antagonist & cardiac myotrope",Phasetwo,Phasetwo,,,,,
C121,Pfizer,"November 1, 2022",Cardiología,cardiovasculares,"Acute Heart Failure With Reduced Ejection Fraction (FAST
 TRACK – U.S.)",APD418,"beta-3 adrenergic receptor (AdrR)
 antagonist & cardiac myotrope",Phasetwo,Phasetwo,,,,,
C122,Pfizer,"November 1, 2022",Medicina interna,cardiovasculares,Microvascular Obstruction (MVO),Temanogrel,"Serotonin 2A (5-HT2A) receptor
 inverse agonist",Phasetwo,Phasetwo,,,,,
C122,Pfizer,"November 1, 2022",Cardiología,cardiovasculares,Microvascular Obstruction (MVO),Temanogrel,"Serotonin 2A (5-HT2A) receptor
 inverse agonist",Phasetwo,Phasetwo,,,,,
C123,Pfizer,"November 1, 2022",Medicina interna,cardiovasculares,Heart Failure (Biologic),ponsegromab (PF-06946860),Growth Differentiation Factor 15 (GDF15) Monoclonal Antibody,Phaseone,Phaseone,,,,,
C123,Pfizer,"November 1, 2022",Cardiología,cardiovasculares,Heart Failure (Biologic),ponsegromab (PF-06946860),Growth Differentiation Factor 15 (GDF15) Monoclonal Antibody,Phaseone,Phaseone,,,,,
C124,Novartis,Q3 2022,Medicina interna,cardiovasculares,Cardiovascular diseases,XXB750,-,Phaseone,Phaseone,,,,,
C124,Novartis,Q3 2022,Cardiología,cardiovasculares,Cardiovascular diseases,XXB750,-,Phaseone,Phaseone,,,,,
C125,Novartis,Q3 2022,Medicina interna,cardiovasculares,Atrial fibrillation,HSY244,-,Phasetwo,Phasetwo,,,,,
C125,Novartis,Q3 2022,Cardiología,cardiovasculares,Atrial fibrillation,HSY244,-,Phasetwo,Phasetwo,,,,,
C126,Novartis,Q3 2022,Medicina interna,cardiovasculares,Secondary prevention of cardiovascular events in patients with elevated levels of lipoprotein (a) (CVRR-Lp(a)),"TQJ230 
 Pelacarsen",ASO targeting Lp(a),Phasethree,Phasethree,,,,,
C126,Novartis,Q3 2022,Cardiología,cardiovasculares,Secondary prevention of cardiovascular events in patients with elevated levels of lipoprotein (a) (CVRR-Lp(a)),"TQJ230 
 Pelacarsen",ASO targeting Lp(a),Phasethree,Phasethree,,,,,
C127,Novartis,Q3 2022,Medicina interna,cardiovasculares,"Congestive heart failure, pediatrics1)","LCZ696
 Entresto®",Angiotensin receptor/neprilysin inhibitor,registration,registration,,,,,
C127,Novartis,Q3 2022,Cardiología,cardiovasculares,"Congestive heart failure, pediatrics1)","LCZ696
 Entresto®",Angiotensin receptor/neprilysin inhibitor,registration,registration,,,,,
C128,MSD,Q2 2022,Medicina interna,Metabólicas,Diabetes,"MK-8835
 STEGLATRO®","Inhibidor potente, selectivo y reversible del SGLT2, por lo que se reduce la reabsorción renal de la glucosa filtrada y disminuye el umbral renal para la glucosa, aumentando de este modo la excreción urinaria de glucosa.",Approvals,Approvals,,,,,
C128,MSD,Q2 2022,Endocrinología,Metabólicas,Diabetes,"MK-8835
 STEGLATRO®","Inhibidor potente, selectivo y reversible del SGLT2, por lo que se reduce la reabsorción renal de la glucosa filtrada y disminuye el umbral renal para la glucosa, aumentando de este modo la excreción urinaria de glucosa.",Approvals,Approvals,,,,,
